true_rul,pred_rul,uncertainty,error,abs_error
22.0,84.9233627319336,78.41778564453125,62.923362731933594,62.923362731933594
39.0,81.94082641601562,91.93170928955078,42.940826416015625,42.940826416015625
107.0,78.83930969238281,76.71504974365234,-28.160690307617188,28.160690307617188
75.0,82.84302520751953,80.21224212646484,7.843025207519531,7.843025207519531
125.0,82.9842300415039,88.23370361328125,-42.015769958496094,42.015769958496094
78.0,80.5995864868164,85.83063507080078,2.5995864868164062,2.5995864868164062
94.0,81.26920318603516,74.60234069824219,-12.730796813964844,12.730796813964844
14.0,81.9311294555664,88.1696548461914,67.9311294555664,67.9311294555664
99.0,86.76155090332031,82.43746185302734,-12.238449096679688,12.238449096679688
125.0,82.9137191772461,91.89799499511719,-42.086280822753906,42.086280822753906
125.0,79.31739044189453,86.22346496582031,-45.68260955810547,45.68260955810547
7.0,85.81488037109375,83.7151870727539,78.81488037109375,78.81488037109375
71.0,83.3852310180664,91.33372497558594,12.385231018066406,12.385231018066406
105.0,79.9881820678711,89.05300903320312,-25.011817932128906,25.011817932128906
12.0,83.19617462158203,81.06522369384766,71.19617462158203,71.19617462158203
125.0,85.5816421508789,83.27081298828125,-39.418357849121094,39.418357849121094
125.0,82.2230453491211,85.88704681396484,-42.776954650878906,42.776954650878906
104.0,82.498291015625,86.4179916381836,-21.501708984375,21.501708984375
125.0,86.5284652709961,93.41515350341797,-38.471534729003906,38.471534729003906
82.0,82.6329574584961,86.91120910644531,0.6329574584960938,0.6329574584960938
91.0,85.90697479248047,90.21942901611328,-5.093025207519531,5.093025207519531
11.0,84.2994613647461,89.47888946533203,73.2994613647461,73.2994613647461
26.0,84.2441177368164,87.71353149414062,58.244117736816406,58.244117736816406
125.0,86.16228485107422,79.17684936523438,-38.83771514892578,38.83771514892578
39.0,84.79297637939453,74.04631042480469,45.79297637939453,45.79297637939453
92.0,84.0089340209961,82.47599029541016,-7.991065979003906,7.991065979003906
76.0,83.51081085205078,88.09513092041016,7.510810852050781,7.510810852050781
124.0,86.36192321777344,88.49136352539062,-37.63807678222656,37.63807678222656
64.0,84.9171371459961,83.72602844238281,20.917137145996094,20.917137145996094
118.0,86.1463394165039,84.10338592529297,-31.853660583496094,31.853660583496094
6.0,81.35082244873047,92.177734375,75.35082244873047,75.35082244873047
22.0,82.79345703125,70.81104278564453,60.79345703125,60.79345703125
125.0,85.33576202392578,81.62189483642578,-39.66423797607422,39.66423797607422
125.0,81.1943588256836,88.64759063720703,-43.805641174316406,43.805641174316406
36.0,85.0331802368164,88.34934997558594,49.033180236816406,49.033180236816406
73.0,82.00531005859375,85.75927734375,9.00531005859375,9.00531005859375
89.0,79.39450073242188,78.79339599609375,-9.605499267578125,9.605499267578125
11.0,79.21525573730469,92.59678649902344,68.21525573730469,68.21525573730469
125.0,82.11854553222656,80.98851776123047,-42.88145446777344,42.88145446777344
10.0,86.7774887084961,77.45098876953125,76.7774887084961,76.7774887084961
97.0,79.71812438964844,79.35738372802734,-17.281875610351562,17.281875610351562
30.0,88.07508087158203,82.88094329833984,58.07508087158203,58.07508087158203
42.0,81.42459106445312,87.73097229003906,39.424591064453125,39.424591064453125
60.0,82.91149139404297,89.9021987915039,22.91149139404297,22.91149139404297
85.0,83.44970703125,79.8487548828125,-1.55029296875,1.55029296875
125.0,83.04161834716797,95.29389953613281,-41.95838165283203,41.95838165283203
34.0,87.53219604492188,87.22288513183594,53.532196044921875,53.532196044921875
45.0,84.83203887939453,93.16559600830078,39.83203887939453,39.83203887939453
24.0,86.20606231689453,84.99330139160156,62.20606231689453,62.20606231689453
86.0,82.92759704589844,87.98884582519531,-3.0724029541015625,3.0724029541015625
119.0,82.97850799560547,92.33333587646484,-36.02149200439453,36.02149200439453
125.0,81.93388366699219,76.234130859375,-43.06611633300781,43.06611633300781
125.0,81.85671997070312,83.4652099609375,-43.143280029296875,43.143280029296875
125.0,85.56182861328125,92.85555267333984,-39.43817138671875,39.43817138671875
125.0,81.79536437988281,81.73251342773438,-43.20463562011719,43.20463562011719
67.0,89.24854278564453,97.38340759277344,22.24854278564453,22.24854278564453
97.0,82.40664672851562,86.88420867919922,-14.593353271484375,14.593353271484375
8.0,79.22039794921875,79.2767333984375,71.22039794921875,71.22039794921875
125.0,84.66061401367188,91.8842544555664,-40.339385986328125,40.339385986328125
125.0,76.71221923828125,77.52544403076172,-48.28778076171875,48.28778076171875
51.0,77.9134750366211,81.1106948852539,26.913475036621094,26.913475036621094
33.0,79.58751678466797,92.91548156738281,46.58751678466797,46.58751678466797
125.0,81.51996612548828,83.41549682617188,-43.48003387451172,43.48003387451172
46.0,79.75440979003906,78.88884735107422,33.75440979003906,33.75440979003906
12.0,80.4872817993164,78.23490142822266,68.4872817993164,68.4872817993164
125.0,80.9963607788086,82.35689544677734,-44.003639221191406,44.003639221191406
46.0,84.20904541015625,90.21634674072266,38.20904541015625,38.20904541015625
46.0,77.2131118774414,83.80857849121094,31.213111877441406,31.213111877441406
12.0,82.26677703857422,78.76847076416016,70.26677703857422,70.26677703857422
33.0,80.44662475585938,88.27201080322266,47.446624755859375,47.446624755859375
15.0,88.58057403564453,87.55451965332031,73.58057403564453,73.58057403564453
125.0,86.35055541992188,90.77777099609375,-38.649444580078125,38.649444580078125
23.0,81.32744598388672,91.0605239868164,58.32744598388672,58.32744598388672
89.0,86.00808715820312,89.41656494140625,-2.991912841796875,2.991912841796875
124.0,81.32876586914062,87.64588928222656,-42.671234130859375,42.671234130859375
125.0,80.61426544189453,81.00785064697266,-44.38573455810547,44.38573455810547
25.0,85.34461975097656,81.03034210205078,60.34461975097656,60.34461975097656
74.0,83.44573974609375,79.76577758789062,9.44573974609375,9.44573974609375
78.0,76.09064483642578,82.94876861572266,-1.9093551635742188,1.9093551635742188
114.0,82.64392852783203,87.0814437866211,-31.35607147216797,31.35607147216797
96.0,85.3076171875,96.33296203613281,-10.6923828125,10.6923828125
10.0,88.37821197509766,80.76937103271484,78.37821197509766,78.37821197509766
125.0,87.60887908935547,87.6406478881836,-37.39112091064453,37.39112091064453
125.0,80.74371337890625,78.66383361816406,-44.25628662109375,44.25628662109375
115.0,87.20140838623047,82.28414154052734,-27.79859161376953,27.79859161376953
70.0,83.43330383300781,79.97921752929688,13.433303833007812,13.433303833007812
94.0,85.78961181640625,80.5907211303711,-8.21038818359375,8.21038818359375
56.0,78.31559753417969,89.43560791015625,22.315597534179688,22.315597534179688
86.0,78.99828338623047,89.2173080444336,-7.001716613769531,7.001716613769531
96.0,83.74826049804688,83.93062591552734,-12.251739501953125,12.251739501953125
50.0,81.74662780761719,82.8545150756836,31.746627807617188,31.746627807617188
73.0,84.33236694335938,92.27861785888672,11.332366943359375,11.332366943359375
125.0,84.28221893310547,83.8049545288086,-40.71778106689453,40.71778106689453
125.0,84.97409057617188,80.60174560546875,-40.025909423828125,40.025909423828125
125.0,89.0500259399414,86.85668182373047,-35.949974060058594,35.949974060058594
71.0,87.4806137084961,79.94207000732422,16.480613708496094,16.480613708496094
105.0,86.03845977783203,81.3084716796875,-18.96154022216797,18.96154022216797
113.0,80.35145568847656,87.74613952636719,-32.64854431152344,32.64854431152344
37.0,82.69499969482422,85.27129364013672,45.69499969482422,45.69499969482422
7.0,85.62549591064453,89.78876495361328,78.62549591064453,78.62549591064453
13.0,84.26457214355469,84.00033569335938,71.26457214355469,71.26457214355469
22.0,83.09388732910156,84.189453125,61.09388732910156,61.09388732910156
9.0,81.87077331542969,83.6723403930664,72.87077331542969,72.87077331542969
120.0,81.0219955444336,89.19974517822266,-38.978004455566406,38.978004455566406
100.0,85.29415130615234,89.08665466308594,-14.705848693847656,14.705848693847656
107.0,83.14928436279297,85.78478240966797,-23.85071563720703,23.85071563720703
41.0,86.611328125,86.20281982421875,45.611328125,45.611328125
125.0,84.74378967285156,87.51419067382812,-40.25621032714844,40.25621032714844
125.0,84.75525665283203,82.0979232788086,-40.24474334716797,40.24474334716797
59.0,82.92434692382812,81.54198455810547,23.924346923828125,23.924346923828125
18.0,84.02354431152344,71.05475616455078,66.02354431152344,66.02354431152344
66.0,83.49597930908203,90.23033905029297,17.49597930908203,17.49597930908203
13.0,84.58283996582031,79.53731536865234,71.58283996582031,71.58283996582031
14.0,89.22889709472656,81.19259643554688,75.22889709472656,75.22889709472656
125.0,85.1252212524414,89.75957489013672,-39.874778747558594,39.874778747558594
