engine_id,health_index,predicted_rul,true_rul,error,alert_level
22,2.2,2.8,11,-8.2,CRITICAL
42,2.4,3.0,30,-27.0,CRITICAL
244,2.5,3.2,35,-31.8,CRITICAL
66,2.6,3.3,125,-121.7,CRITICAL
194,2.6,3.2,15,-11.8,CRITICAL
171,2.7,3.3,125,-121.7,CRITICAL
213,2.7,3.4,14,-10.6,CRITICAL
240,2.7,3.4,98,-94.6,CRITICAL
36,2.8,3.5,73,-69.5,CRITICAL
168,2.9,3.6,87,-83.4,CRITICAL
148,2.9,3.6,125,-121.4,CRITICAL
53,3.0,3.7,125,-121.3,CRITICAL
193,3.0,3.7,104,-100.3,CRITICAL
242,3.0,3.8,81,-77.2,CRITICAL
178,3.0,3.7,106,-102.3,CRITICAL
73,3.1,3.9,23,-19.1,CRITICAL
91,3.3,4.1,50,-45.9,CRITICAL
33,3.3,4.1,125,-120.9,CRITICAL
183,3.4,4.2,15,-10.8,CRITICAL
131,3.5,4.4,101,-96.6,CRITICAL
67,3.5,4.4,46,-41.6,CRITICAL
116,3.5,4.3,13,-8.7,CRITICAL
234,3.5,4.4,68,-63.6,CRITICAL
2,3.6,4.5,39,-34.5,CRITICAL
217,3.8,4.7,66,-61.3,CRITICAL
186,3.8,4.7,125,-120.3,CRITICAL
196,3.9,4.9,89,-84.1,CRITICAL
176,3.9,4.9,103,-98.1,CRITICAL
160,3.9,4.9,83,-78.1,CRITICAL
108,4.0,4.9,125,-120.1,CRITICAL
161,4.1,5.1,82,-76.9,CRITICAL
133,4.2,5.3,125,-119.7,CRITICAL
138,4.2,5.2,88,-82.8,CRITICAL
51,4.4,5.5,119,-113.5,CRITICAL
126,8.7,10.9,15,-4.1,CRITICAL
35,8.9,11.2,36,-24.8,CRITICAL
172,9.3,11.6,12,-0.40000000000000036,CRITICAL
238,9.7,12.1,16,-3.9000000000000004,CRITICAL
12,9.8,12.2,7,5.199999999999999,CRITICAL
237,9.8,12.2,18,-5.800000000000001,CRITICAL
216,10.0,12.5,17,-4.5,CRITICAL
179,10.1,12.6,12,0.5999999999999996,CRITICAL
181,10.2,12.7,37,-24.3,CRITICAL
40,10.2,12.7,10,2.6999999999999993,CRITICAL
