engine_id,health_index,predicted_rul,true_rul,error,alert_level
76,6.6,8.3,10,-1.6999999999999993,CRITICAL
81,6.8,8.5,8,0.5,CRITICAL
34,7.1,8.9,7,1.9000000000000004,CRITICAL
35,8.0,10.1,11,-0.9000000000000004,CRITICAL
31,8.1,10.2,8,2.1999999999999993,CRITICAL
68,8.4,10.4,8,2.4000000000000004,CRITICAL
82,8.8,11.0,9,2.0,CRITICAL
100,8.9,11.1,20,-8.9,CRITICAL
56,9.6,12.0,15,-3.0,CRITICAL
24,10.7,13.4,20,-6.6,CRITICAL
20,11.2,14.0,16,-2.0,CRITICAL
42,11.7,14.7,10,4.699999999999999,CRITICAL
61,11.7,14.7,21,-6.300000000000001,CRITICAL
66,12.5,15.7,14,1.6999999999999993,CRITICAL
49,14.3,17.8,21,-3.1999999999999993,CRITICAL
92,15.1,18.9,20,-1.1000000000000014,CRITICAL
91,17.0,21.2,38,-16.8,WARNING
36,17.2,21.5,19,2.5,WARNING
64,17.4,21.7,28,-6.300000000000001,WARNING
52,17.7,22.1,29,-6.899999999999999,WARNING
90,19.5,24.3,28,-3.6999999999999993,WARNING
18,21.1,26.4,28,-1.6000000000000014,WARNING
77,21.8,27.2,34,-6.800000000000001,WARNING
41,24.4,30.5,18,12.5,WARNING
37,25.2,31.5,21,10.5,WARNING
53,28.5,35.7,26,9.700000000000003,WARNING
40,28.5,35.6,28,7.600000000000001,WARNING
62,28.8,36.0,54,-18.0,WARNING
58,30.0,37.5,37,0.5,WARNING
46,32.9,41.1,47,-5.899999999999999,WARNING
93,35.5,44.4,85,-40.6,WARNING
17,35.9,44.9,50,-5.100000000000001,WARNING
32,36.9,46.2,48,-1.7999999999999972,WARNING
3,37.6,47.0,69,-22.0,WARNING
84,40.0,50.0,58,-8.0,WARNING
38,40.0,49.9,50,-0.10000000000000142,WARNING
43,44.0,55.0,59,-4.0,HEALTHY
94,46.6,58.2,55,3.200000000000003,HEALTHY
63,50.7,63.3,72,-8.700000000000003,HEALTHY
21,58.1,72.6,57,15.599999999999994,HEALTHY
11,59.1,73.9,97,-23.099999999999994,HEALTHY
79,59.3,74.1,63,11.099999999999994,HEALTHY
72,60.0,75.0,50,25.0,HEALTHY
45,61.8,77.3,114,-36.7,HEALTHY
27,61.9,77.3,66,11.299999999999997,HEALTHY
80,62.3,77.9,90,-12.099999999999994,HEALTHY
98,63.8,79.7,59,20.700000000000003,HEALTHY
97,66.2,82.7,82,0.7000000000000028,HEALTHY
6,67.5,84.4,93,-8.599999999999994,HEALTHY
13,71.3,89.1,95,-5.900000000000006,HEALTHY
14,73.9,92.4,107,-14.599999999999994,HEALTHY
44,74.1,92.6,109,-16.400000000000006,HEALTHY
10,74.4,93.0,96,-3.0,HEALTHY
12,74.4,93.0,124,-31.0,HEALTHY
8,74.6,93.3,95,-1.7000000000000028,HEALTHY
57,76.1,95.2,103,-7.799999999999997,HEALTHY
71,76.1,95.1,118,-22.900000000000006,HEALTHY
7,78.6,98.2,91,7.200000000000003,HEALTHY
50,79.8,99.7,79,20.700000000000003,HEALTHY
19,80.6,100.8,87,13.799999999999997,HEALTHY
4,80.9,101.1,82,19.099999999999994,HEALTHY
86,81.3,101.6,89,12.599999999999994,HEALTHY
60,82.0,102.5,100,2.5,HEALTHY
29,82.0,102.5,90,12.5,HEALTHY
15,82.1,102.6,83,19.599999999999994,HEALTHY
70,82.4,103.0,94,9.0,HEALTHY
74,83.0,103.7,125,-21.299999999999997,HEALTHY
5,84.8,106.0,91,15.0,HEALTHY
30,85.1,106.4,115,-8.599999999999994,HEALTHY
59,85.7,107.1,114,-6.900000000000006,HEALTHY
26,87.2,109.1,119,-9.900000000000006,HEALTHY
47,87.3,109.2,125,-15.799999999999997,HEALTHY
51,87.5,109.4,114,-4.599999999999994,HEALTHY
33,89.4,111.7,106,5.700000000000003,HEALTHY
87,89.8,112.3,116,-3.700000000000003,HEALTHY
48,89.9,112.4,92,20.400000000000006,HEALTHY
96,89.9,112.4,125,-12.599999999999994,HEALTHY
89,90.2,112.7,125,-12.299999999999997,HEALTHY
16,90.8,113.5,84,29.5,HEALTHY
28,90.8,113.5,97,16.5,HEALTHY
88,92.0,114.9,115,-0.09999999999999432,HEALTHY
9,92.9,116.1,111,5.099999999999994,HEALTHY
95,93.1,116.4,125,-8.599999999999994,HEALTHY
75,93.2,116.5,113,3.5,HEALTHY
54,93.6,117.0,97,20.0,HEALTHY
67,94.5,118.1,77,41.099999999999994,HEALTHY
2,94.5,118.1,98,20.099999999999994,HEALTHY
99,94.7,118.3,117,1.2999999999999972,HEALTHY
73,95.1,118.8,125,-6.200000000000003,HEALTHY
85,95.3,119.1,118,1.0999999999999943,HEALTHY
39,95.7,119.6,125,-5.400000000000006,HEALTHY
1,96.7,120.8,112,8.799999999999997,HEALTHY
69,97.1,121.4,121,0.4000000000000057,HEALTHY
25,97.3,121.6,125,-3.4000000000000057,HEALTHY
65,97.5,121.8,125,-3.200000000000003,HEALTHY
83,97.7,122.1,125,-2.9000000000000057,HEALTHY
55,97.8,122.2,125,-2.799999999999997,HEALTHY
22,98.0,122.5,111,11.5,HEALTHY
23,99.4,124.3,113,11.299999999999997,HEALTHY
78,100.0,125.2,107,18.200000000000003,HEALTHY
